batch,sample,horizon_sec,gate_value,mean_innovation,max_innovation
0,0,0.5,0.4219619,0.0037680937,0.056035586
0,0,1.0,0.47456905,0.0037680937,0.056035586
0,0,1.5,0.54099876,0.0037680937,0.056035586
0,0,2.0,0.49109927,0.0037680937,0.056035586
0,0,2.5,0.52534014,0.0037680937,0.056035586
0,1,0.5,0.42186186,0.0035928243,0.054389536
0,1,1.0,0.47391492,0.0035928243,0.054389536
0,1,1.5,0.5403212,0.0035928243,0.054389536
0,1,2.0,0.49080515,0.0035928243,0.054389536
0,1,2.5,0.5256424,0.0035928243,0.054389536
0,2,0.5,0.42190203,0.0035634341,0.054343358
0,2,1.0,0.4738965,0.0035634341,0.054343358
0,2,1.5,0.5403783,0.0035634341,0.054343358
0,2,2.0,0.4907828,0.0035634341,0.054343358
0,2,2.5,0.52552074,0.0035634341,0.054343358
0,3,0.5,0.42193267,0.003300165,0.019433362
0,3,1.0,0.4739288,0.003300165,0.019433362
0,3,1.5,0.5405256,0.003300165,0.019433362
0,3,2.0,0.490804,0.003300165,0.019433362
0,3,2.5,0.5253344,0.003300165,0.019433362
0,4,0.5,0.42194706,0.0033174395,0.019517062
0,4,1.0,0.474179,0.0033174395,0.019517062
0,4,1.5,0.54093355,0.0033174395,0.019517062
0,4,2.0,0.49095705,0.0033174395,0.019517062
0,4,2.5,0.5250298,0.0033174395,0.019517062
0,5,0.5,0.42192167,0.0033372177,0.01957187
0,5,1.0,0.47428903,0.0033372177,0.01957187
0,5,1.5,0.5411852,0.0033372177,0.01957187
0,5,2.0,0.491058,0.0033372177,0.01957187
0,5,2.5,0.52481616,0.0033372177,0.01957187
0,6,0.5,0.4218822,0.0033556586,0.019557737
0,6,1.0,0.4743043,0.0033556586,0.019557737
0,6,1.5,0.5413213,0.0033556586,0.019557737
0,6,2.0,0.4911143,0.0033556586,0.019557737
0,6,2.5,0.5246696,0.0033556586,0.019557737
0,7,0.5,0.42185536,0.0033755708,0.019376475
0,7,1.0,0.4742957,0.0033755708,0.019376475
0,7,1.5,0.54142934,0.0033755708,0.019376475
0,7,2.0,0.49115,0.0033755708,0.019376475
0,7,2.5,0.52452874,0.0033755708,0.019376475
0,8,0.5,0.4218251,0.0033967716,0.018832622
0,8,1.0,0.47420293,0.0033967716,0.018832622
0,8,1.5,0.54143816,0.0033967716,0.018832622
0,8,2.0,0.49114153,0.0033967716,0.018832622
0,8,2.5,0.5244374,0.0033967716,0.018832622
0,9,0.5,0.42177683,0.0034192072,0.017674888
0,9,1.0,0.4738887,0.0034192072,0.017674888
0,9,1.5,0.54118645,0.0034192072,0.017674888
0,9,2.0,0.49101773,0.0034192072,0.017674888
0,9,2.5,0.5244814,0.0034192072,0.017674888
0,10,0.5,0.42170733,0.00342237,0.017640062
0,10,1.0,0.4733673,0.00342237,0.017640062
0,10,1.5,0.5406926,0.00342237,0.017640062
0,10,2.0,0.49079183,0.00342237,0.017640062
0,10,2.5,0.52465236,0.00342237,0.017640062
0,11,0.5,0.42165354,0.0033585923,0.007250488
0,11,1.0,0.47272936,0.0033585923,0.007250488
0,11,1.5,0.5400661,0.0033585923,0.007250488
0,11,2.0,0.49049532,0.0033585923,0.007250488
0,11,2.5,0.5248723,0.0033585923,0.007250488
0,12,0.5,0.42157748,0.003372007,0.0073418473
0,12,1.0,0.4718543,0.003372007,0.0073418473
0,12,1.5,0.5391641,0.003372007,0.0073418473
0,12,2.0,0.49008355,0.003372007,0.0073418473
0,12,2.5,0.52523315,0.003372007,0.0073418473
0,13,0.5,0.42154986,0.0033844444,0.0074047986
0,13,1.0,0.47101322,0.0033844444,0.0074047986
0,13,1.5,0.5383151,0.0033844444,0.0074047986
0,13,2.0,0.48967326,0.0033844444,0.0074047986
0,13,2.5,0.5255266,0.0033844444,0.0074047986
0,14,0.5,0.4216081,0.0033951756,0.007440208
0,14,1.0,0.470476,0.0033951756,0.007440208
0,14,1.5,0.53784984,0.0033951756,0.007440208
0,14,2.0,0.48940217,0.0033951756,0.007440208
0,14,2.5,0.5255602,0.0033951756,0.007440208
0,15,0.5,0.421682,0.0034059512,0.0074461824
0,15,1.0,0.46997452,0.0034059512,0.0074461824
0,15,1.5,0.53744996,0.0034059512,0.0074461824
0,15,2.0,0.48916167,0.0034059512,0.0074461824
0,15,2.5,0.5255308,0.0034059512,0.0074461824
0,16,0.5,0.421792,0.0034136819,0.007428204
0,16,1.0,0.4695915,0.0034136819,0.007428204
0,16,1.5,0.5371637,0.0034136819,0.007428204
0,16,2.0,0.48898488,0.0034136819,0.007428204
0,16,2.5,0.5254465,0.0034136819,0.007428204
0,17,0.5,0.42115542,0.0034198575,0.0072945775
0,17,1.0,0.46902186,0.0034198575,0.0072945775
0,17,1.5,0.5361522,0.0034198575,0.0072945775
0,17,2.0,0.488889,0.0034198575,0.0072945775
0,17,2.5,0.52617675,0.0034198575,0.0072945775
0,18,0.5,0.42020762,0.0034245087,0.0073552355
0,18,1.0,0.46845663,0.0034245087,0.0073552355
0,18,1.5,0.53457695,0.0034245087,0.0073552355
0,18,2.0,0.4888828,0.0034245087,0.0073552355
0,18,2.5,0.52767974,0.0034245087,0.0073552355
0,19,0.5,0.41892552,0.0034269963,0.007336048
0,19,1.0,0.46796292,0.0034269963,0.007336048
0,19,1.5,0.53224486,0.0034269963,0.007336048
0,19,2.0,0.4890175,0.0034269963,0.007336048
0,19,2.5,0.53030443,0.0034269963,0.007336048
0,20,0.5,0.4174456,0.003427782,0.007100242
0,20,1.0,0.46773353,0.003427782,0.007100242
0,20,1.5,0.52995044,0.003427782,0.007100242
0,20,2.0,0.4893402,0.003427782,0.007100242
0,20,2.5,0.5331684,0.003427782,0.007100242
0,21,0.5,0.4160623,0.0034280373,0.0067556933
0,21,1.0,0.4675996,0.0034280373,0.0067556933
0,21,1.5,0.5285724,0.0034280373,0.0067556933
0,21,2.0,0.48969543,0.0034280373,0.0067556933
0,21,2.5,0.53488564,0.0034280373,0.0067556933
0,22,0.5,0.414904,0.0034281174,0.006821879
0,22,1.0,0.4674036,0.0034281174,0.006821879
0,22,1.5,0.52782744,0.0034281174,0.006821879
0,22,2.0,0.48998958,0.0034281174,0.006821879
0,22,2.5,0.5356639,0.0034281174,0.006821879
0,23,0.5,0.4138507,0.0034272443,0.0069362777
0,23,1.0,0.46672764,0.0034272443,0.0069362777
0,23,1.5,0.526779,0.0034272443,0.0069362777
0,23,2.0,0.4899999,0.0034272443,0.0069362777
0,23,2.5,0.5363904,0.0034272443,0.0069362777
0,24,0.5,0.41292048,0.0034248657,0.0070496225
0,24,1.0,0.4662072,0.0034248657,0.0070496225
0,24,1.5,0.52595,0.0034248657,0.0070496225
0,24,2.0,0.4900393,0.0034248657,0.0070496225
0,24,2.5,0.5369701,0.0034248657,0.0070496225
0,25,0.5,0.4120216,0.0034246643,0.007161235
0,25,1.0,0.4657791,0.0034246643,0.007161235
0,25,1.5,0.52521586,0.0034246643,0.007161235
0,25,2.0,0.49008593,0.0034246643,0.007161235
0,25,2.5,0.5375368,0.0034246643,0.007161235
0,26,0.5,0.4079838,0.0034269118,0.0072736116
0,26,1.0,0.46454832,0.0034269118,0.0072736116
0,26,1.5,0.52452666,0.0034269118,0.0072736116
0,26,2.0,0.49001977,0.0034269118,0.0072736116
0,26,2.5,0.53805244,0.0034269118,0.0072736116
0,27,0.5,0.40159407,0.0034277698,0.007383667
0,27,1.0,0.46269104,0.0034277698,0.007383667
0,27,1.5,0.5236376,0.0034277698,0.007383667
0,27,2.0,0.48984325,0.0034277698,0.007383667
0,27,2.5,0.538846,0.0034277698,0.007383667
